id,target
885284,1
885285,1
885286,0
885287,1
885288,0
885289,1
885290,1
885291,0
885292,0
885293,0
885294,0
885295,0
885296,1
885297,1
885298,0
885299,0
885300,0
885301,1
885302,0
885303,1
885304,0
885305,0
885306,0
885307,1
885308,0
885309,0
885310,0
885311,1
885312,0
885313,1
885314,0
885315,0
885316,0
885317,1
885318,1
885319,1
885320,1
885321,0
885322,0
885323,1
885324,0
885325,0
885326,1
885327,0
885328,1
885329,0
885330,0
885331,0
885332,0
885333,1
885334,0
885335,0
885336,0
885337,0
885338,1
885339,0
885340,1
885341,1
885342,1
885343,1
885344,0
885345,1
885346,1
885347,0
885348,0
885349,0
885350,1
885351,0
885352,0
885353,1
885354,0
885355,1
885356,0
885357,0
885358,0
885359,1
885360,0
885361,0
885362,0
885363,1
885364,1
885365,1
885366,0
885367,0
885368,1
885369,0
885370,0
885371,0
885372,0
885373,1
885374,0
885375,0
885376,0
885377,1
885378,0
885379,0
885380,0
885381,1
885382,0
885383,1
885384,0
885385,1
885386,0
885387,0
885388,0
885389,0
885390,1
885391,0
885392,1
885393,1
885394,1
885395,1
885396,0
885397,0
885398,1
885399,0
885400,1
885401,1
885402,0
885403,1
885404,0
885405,1
885406,0
885407,0
885408,1
885409,0
885410,0
885411,1
885412,1
885413,0
885414,1
885415,0
885416,0
885417,0
885418,1
885419,0
885420,0
885421,1
885422,1
885423,1
885424,0
885425,1
885426,0
885427,1
885428,0
885429,0
885430,1
885431,0
885432,0
885433,0
885434,0
885435,0
885436,0
885437,1
885438,1
885439,1
885440,0
885441,0
885442,0
885443,0
885444,0
885445,0
885446,1
885447,0
885448,1
885449,0
885450,0
885451,0
885452,0
885453,0
885454,1
885455,0
885456,0
885457,1
885458,0
885459,0
885460,0
885461,1
885462,1
885463,1
885464,0
885465,0
885466,0
885467,0
885468,0
885469,1
885470,0
885471,1
885472,0
885473,0
885474,0
885475,1
885476,0
885477,0
885478,0
885479,0
885480,0
885481,1
885482,1
885483,1
885484,0
885485,0
885486,0
885487,0
885488,0
885489,0
885490,1
885491,1
885492,0
885493,1
885494,0
885495,1
885496,1
885497,0
885498,0
885499,0
885500,1
885501,0
885502,1
885503,0
885504,0
885505,0
885506,1
885507,0
885508,0
885509,1
885510,1
885511,0
885512,0
885513,0
885514,0
885515,1
885516,0
885517,1
885518,0
885519,1
885520,1
885521,1
885522,0
885523,0
885524,0
885525,1
885526,0
885527,0
885528,1
885529,1
885530,0
885531,1
885532,1
885533,0
885534,0
885535,1
885536,0
885537,1
885538,0
885539,0
885540,0
885541,0
885542,1
885543,1
885544,0
885545,0
885546,0
885547,0
885548,1
885549,1
885550,1
885551,1
885552,0
885553,1
885554,0
885555,0
885556,1
885557,1
885558,1
885559,1
885560,1
885561,1
885562,0
885563,1
885564,1
885565,1
885566,1
885567,1
885568,0
885569,1
885570,1
885571,1
885572,0
885573,0
885574,1
885575,1
885576,0
885577,0
885578,1
885579,0
885580,1
885581,0
885582,0
885583,1
885584,1
885585,0
885586,1
885587,0
885588,0
885589,0
885590,1
885591,0
885592,1
885593,0
885594,1
885595,1
885596,0
885597,0
885598,0
885599,1
885600,0
885601,1
885602,1
885603,0
885604,0
885605,1
885606,0
885607,0
885608,0
885609,0
885610,1
885611,0
885612,0
885613,1
885614,0
885615,1
885616,1
885617,0
885618,0
885619,0
885620,0
885621,1
885622,1
885623,1
885624,0
885625,0
885626,1
885627,1
885628,0
885629,0
885630,0
885631,0
885632,0
885633,1
885634,0
885635,1
885636,1
885637,0
885638,0
885639,0
885640,0
885641,1
885642,0
885643,0
885644,0
885645,1
885646,1
885647,0
885648,1
885649,0
885650,0
885651,0
885652,1
885653,1
885654,0
885655,0
885656,0
885657,0
885658,1
885659,0
885660,1
885661,0
885662,1
885663,1
885664,0
885665,0
885666,1
885667,0
885668,0
885669,1
885670,1
885671,1
885672,1
885673,1
885674,1
885675,1
885676,0
885677,1
885678,1
885679,0
885680,0
885681,1
885682,0
885683,1
885684,0
885685,1
885686,0
885687,0
885688,0
885689,1
885690,0
885691,1
885692,0
885693,1
885694,0
885695,1
885696,0
885697,1
885698,0
885699,0
885700,0
885701,1
885702,1
885703,1
885704,1
885705,1
885706,0
885707,1
885708,0
885709,1
885710,0
885711,1
885712,0
885713,1
885714,0
885715,0
885716,0
885717,1
885718,1
885719,1
885720,0
885721,1
885722,0
885723,0
885724,1
885725,1
885726,1
885727,0
885728,0
885729,1
885730,1
885731,0
885732,1
885733,1
885734,1
885735,1
885736,0
885737,0
885738,1
885739,0
885740,0
885741,1
885742,0
885743,0
885744,0
885745,0
885746,0
885747,0
885748,1
885749,1
885750,0
885751,0
885752,0
885753,0
885754,1
885755,0
885756,0
885757,0
885758,1
885759,0
885760,1
885761,1
885762,0
885763,0
885764,0
885765,1
885766,1
885767,1
885768,1
885769,1
885770,1
885771,1
885772,0
885773,1
885774,0
885775,0
885776,1
885777,1
885778,0
885779,1
885780,0
885781,0
885782,0
885783,0
885784,0
885785,1
885786,1
885787,0
885788,1
885789,1
885790,0
885791,0
885792,0
885793,1
885794,0
885795,0
885796,0
885797,0
885798,0
885799,1
885800,0
885801,1
885802,0
885803,1
885804,0
885805,0
885806,0
885807,0
885808,0
885809,0
885810,0
885811,1
885812,0
885813,0
885814,0
885815,0
885816,0
885817,0
885818,0
885819,0
885820,1
885821,1
885822,0
885823,0
885824,1
885825,0
885826,1
885827,0
885828,0
885829,1
885830,0
885831,1
885832,0
885833,0
885834,0
885835,0
885836,0
885837,1
885838,0
885839,0
885840,0
885841,1
885842,0
885843,0
885844,0
885845,1
885846,1
885847,1
885848,0
885849,1
885850,1
885851,0
885852,0
885853,0
885854,0
885855,0
885856,1
885857,1
885858,0
885859,0
885860,0
885861,0
885862,0
885863,0
885864,0
885865,1
885866,1
885867,0
885868,0
885869,0
885870,0
885871,1
885872,0
885873,0
885874,0
885875,0
885876,0
885877,0
885878,0
885879,0
885880,0
885881,1
885882,1
885883,0
885884,0
885885,0
885886,1
885887,1
885888,0
885889,1
885890,0
885891,0
